id,ticker,signal_type,direction,confidence,price_at_signal,regime,notes,created_at
1,NVDA,MOMENTUM,BUY,90.0,219.440002441406,BULL,"RSI (68.5) | MACD above signal | Above MA50 (189.49) | Above MA200 (184.95) | Normal volume (1.1x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=70.0 → Final=90.0","2026-05-12 12:11:17"
2,AAPL,MOMENTUM,BUY,70.0,292.679992675781,BULL,"RSI (72.4) | MACD above signal | Above MA50 (263.14) | Above MA200 (256.92) | Low volume (0.8x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=60.0 → Final=70.0","2026-05-12 12:11:18"
3,AMD,MOMENTUM,BUY,65.0,458.790008544922,BULL,"RSI overbought (81.1) | MACD above signal | Above MA50 (259.68) | Above MA200 (218.84) | Low volume (1.0x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=55.0 → Final=65.0","2026-05-12 12:11:19"
4,TSLA,MOMENTUM,BUY,75.0,445.0,BULL,"RSI (74.1) | MACD above signal | Above MA50 (384.04) | Above MA200 (405.08) | Normal volume (1.2x avg) | Regime=BULL | VolAdj=+5.0 | SectorAdj=-10.0 | Raw=70.0 → Final=75.0","2026-05-12 12:11:22"
5,META,MOMENTUM,BUY,70.0,598.859985351563,BULL,"Near lower BB — oversold (0.12) | RSI below midline (39.2) | 5%+ below MA20 — strong reversion candidate | Regime=BULL | VolAdj=+0.0 | SectorAdj=-10.0 | Raw=70.0 → Final=70.0","2026-05-12 12:11:23"
6,ASML,MOMENTUM,BUY,95.0,1565.81005859375,BULL,"RSI (61.2) | MACD above signal | Above MA50 (1402.23) | Above MA200 (1136.00) | Normal volume (1.2x avg) | Regime=BULL | VolAdj=+5.0 | SectorAdj=+10.0 | Raw=70.0 → Final=95.0","2026-05-12 12:11:25"
7,IBM,MOMENTUM,BUY,70.0,223.550003051758,BULL,"Near lower BB — oversold (0.22) | RSI below midline (39.2) | Below MA20 by 4.9% | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=60.0 → Final=70.0","2026-05-12 12:11:26"
8,NVDA,MOMENTUM,BUY,90.0,219.525695800781,BULL,"RSI (68.5) | MACD above signal | Above MA50 (189.49) | Above MA200 (184.95) | Normal volume (1.1x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=70.0 → Final=90.0","2026-05-12 14:27:04"
9,AAPL,MOMENTUM,BUY,70.0,294.200012207031,BULL,"RSI (72.4) | MACD above signal | Above MA50 (263.14) | Above MA200 (256.92) | Low volume (0.8x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=60.0 → Final=70.0","2026-05-12 14:27:05"
10,AMD,MOMENTUM,BUY,65.0,449.450012207031,BULL,"RSI overbought (81.1) | MACD above signal | Above MA50 (259.68) | Above MA200 (218.84) | Low volume (1.0x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=55.0 → Final=65.0","2026-05-12 14:27:06"
11,TSLA,MOMENTUM,BUY,75.0,437.799987792969,BULL,"RSI (74.1) | MACD above signal | Above MA50 (384.04) | Above MA200 (405.08) | Normal volume (1.2x avg) | Regime=BULL | VolAdj=+5.0 | SectorAdj=-10.0 | Raw=70.0 → Final=75.0","2026-05-12 14:27:08"
12,NVDA,MOMENTUM,BUY,90.0,217.440002441406,BULL,"RSI (68.5) | MACD above signal | Above MA50 (189.49) | Above MA200 (184.95) | Normal volume (1.1x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=70.0 → Final=90.0","2026-05-12 15:00:03"
13,AAPL,MOMENTUM,BUY,70.0,294.875,BULL,"RSI (72.4) | MACD above signal | Above MA50 (263.14) | Above MA200 (256.92) | Low volume (0.8x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=60.0 → Final=70.0","2026-05-12 15:00:04"
14,AMD,MOMENTUM,BUY,65.0,443.445007324219,BULL,"RSI overbought (81.1) | MACD above signal | Above MA50 (259.68) | Above MA200 (218.84) | Low volume (1.0x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=55.0 → Final=65.0","2026-05-12 15:00:06"
15,TSLA,MOMENTUM,BUY,75.0,430.529907226563,BULL,"RSI (74.1) | MACD above signal | Above MA50 (384.04) | Above MA200 (405.08) | Normal volume (1.2x avg) | Regime=BULL | VolAdj=+5.0 | SectorAdj=-10.0 | Raw=70.0 → Final=75.0","2026-05-12 15:00:09"
16,NVDA,MOMENTUM,BUY,90.0,220.779998779297,BULL,"RSI (69.3) | MACD above signal | Above MA50 (190.26) | Above MA200 (185.18) | Normal volume (1.0x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=70.0 → Final=90.0","2026-05-13 08:30:29"
17,AAPL,MOMENTUM,BUY,70.0,294.799987792969,BULL,"RSI (73.7) | MACD above signal | Above MA50 (263.74) | Above MA200 (257.32) | Low volume (0.9x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=60.0 → Final=70.0","2026-05-13 08:30:30"
18,AMD,MOMENTUM,BUY,65.0,448.290008544922,BULL,"RSI overbought (77.2) | MACD above signal | Above MA50 (264.68) | Above MA200 (220.25) | Low volume (0.8x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=55.0 → Final=65.0","2026-05-13 08:30:31"
19,MSFT,MOMENTUM,BUY,65.0,407.769989013672,BULL,"Near lower BB — oversold (0.12) | RSI neutral (49.0) | Below MA20 by 2.5% | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=55.0 → Final=65.0","2026-05-13 08:30:32"
20,AAPL,PAPER_MOMENTUM,BUY,70.0,294.799987792969,BULL,"[PAPER SCANNER] RSI (73.7) | MACD above signal | Above MA50 (263.74) | Above MA200 (257.32) | Low volume (0.9x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=60.0 → Final=70.0","2026-05-13 13:06:12"
21,MSFT,PAPER_MEAN_REVERSION,BUY,65.0,407.769989013672,BULL,"[PAPER SCANNER] Near lower BB — oversold (0.12) | RSI neutral (49.0) | Below MA20 by 2.5% | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=55.0 → Final=65.0","2026-05-13 13:06:13"
22,NVDA,PAPER_MOMENTUM,BUY,90.0,220.779998779297,BULL,"[PAPER SCANNER] RSI (69.3) | MACD above signal | Above MA50 (190.26) | Above MA200 (185.18) | Normal volume (1.0x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=70.0 → Final=90.0","2026-05-13 13:06:14"
23,LLY,PAPER_MOMENTUM,BUY,75.0,989.869995117188,BULL,"[PAPER SCANNER] RSI neutral (59.6) | MACD above signal | Above MA50 (939.52) | Above MA200 (916.41) | Low volume (0.8x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+0.0 | Raw=65.0 → Final=75.0","2026-05-13 13:06:17"
24,JPM,PAPER_MOMENTUM,BUY,85.0,304.880004882813,BULL,"[PAPER SCANNER] RSI bullish zone (48.5) | MACD below signal | Above MA50 (299.50) | Above MA200 (302.85) | Normal volume (1.2x avg) | Regime=BULL | VolAdj=+5.0 | SectorAdj=+0.0 | Raw=70.0 → Final=85.0","2026-05-13 13:06:17"
25,UNH,PAPER_MOMENTUM,BUY,80.0,396.390014648438,BULL,"[PAPER SCANNER] RSI overbought (84.6) | MACD above signal | Above MA50 (313.62) | Above MA200 (315.36) | Normal volume (1.1x avg) | Regime=BULL | VolAdj=+5.0 | SectorAdj=+0.0 | Raw=65.0 → Final=80.0","2026-05-13 13:06:18"
26,COST,PAPER_MOMENTUM,BUY,100.0,1021.88000488281,BULL,"[PAPER SCANNER] RSI neutral (57.6) | MACD bullish crossover | Above MA50 (997.71) | Above MA200 (950.25) | Normal volume (1.2x avg) | Regime=BULL | VolAdj=+5.0 | SectorAdj=+0.0 | Raw=85.0 → Final=100.0","2026-05-13 13:06:20"
