id,signal_id,ticker,direction,quantity,price,total_value,currency,paper,status,opened_at,closed_at,pnl,notes
1,1,NVDA,BUY,0.2051,219.440002441406,45.0071445007324,GBP,1,VOID,"2026-05-12 12:11:17",,,
2,2,AAPL,BUY,0.1142,292.679992675781,33.4240551635742,GBP,1,VOID,"2026-05-12 12:11:18",,,
3,3,AMD,BUY,0.0589,458.790008544922,27.0227315032959,GBP,1,CLOSED,"2026-05-12 12:11:19","2026-05-13 19:19:05",15.4725736771484,
4,4,TSLA,BUY,0.0896,445.0,39.872,GBP,1,VOID,"2026-05-12 12:11:22",,,
5,5,META,BUY,0.0558,598.859985351563,33.4163871826172,GBP,1,VOID,"2026-05-12 12:11:23",,,
6,6,ASML,BUY,0.0287,1565.81005859375,44.9387486816406,GBP,1,VOID,"2026-05-12 12:11:25",,,
7,7,IBM,BUY,0.1495,223.550003051758,33.4207254562378,GBP,1,VOID,"2026-05-12 12:11:26",,,
8,8,NVDA,BUY,0.2733,219.525695800781,59.9963726623535,GBP,1,VOID,"2026-05-12 14:27:04",,,
9,9,AAPL,BUY,0.1515,294.200012207031,44.5713018493652,GBP,1,VOID,"2026-05-12 14:27:05",,,
10,10,AMD,BUY,0.0801,449.450012207031,36.0009459777832,GBP,1,VOID,"2026-05-12 14:27:06",,,
11,11,TSLA,BUY,0.1214,437.799987792969,53.1489185180664,GBP,1,VOID,"2026-05-12 14:27:08",,,
20,20,AAPL,BUY,5.0397,294.799987792969,1485.70349848022,GBP,1,VOID,"2026-05-13 13:06:13",,,
21,21,MSFT,BUY,2.9428,407.769989013672,1199.98552366943,GBP,1,VOID,"2026-05-13 13:06:13",,,
22,22,NVDA,BUY,9.0588,220.779998779297,2000.00185294189,GBP,1,VOID,"2026-05-13 13:06:14",,,
23,23,LLY,BUY,1.7896,989.869995117188,1771.47134326172,GBP,1,VOID,"2026-05-13 13:06:17",,,
24,24,JPM,BUY,6.56,304.880004882813,2000.01283203125,GBP,1,VOID,"2026-05-13 13:06:17",,,
25,25,UNH,BUY,3.6977,396.390014648438,1465.73135716553,GBP,1,VOID,"2026-05-13 13:06:18",,,
26,26,COST,BUY,0.0717,1021.88000488281,73.2687963500977,GBP,1,VOID,"2026-05-13 13:06:20",,,
27,27,AAPL,BUY,5.0252,295.654998779297,1485.72549986572,GBP,1,VOID,"2026-05-13 13:57:01",,,
28,28,MSFT,BUY,2.9814,402.5,1200.0135,GBP,1,VOID,"2026-05-13 13:57:02",,,
29,29,NVDA,BUY,8.9499,223.464996337891,1999.98937072449,GBP,1,VOID,"2026-05-13 13:57:03",,,
30,30,LLY,BUY,1.7612,1005.82012939453,1771.45041188965,GBP,1,VOID,"2026-05-13 13:57:06",,,
31,31,JPM,BUY,6.6254,301.869995117188,2000.00946564941,GBP,1,VOID,"2026-05-13 13:57:06",,,
